language	treebank	index	text	parser	uas	las
de	GSD	0	Der Hauptgang war in Ordnung, aber alles andere als umwerfend.	corenlp	0.16666666666666666	0.16666666666666666
de	GSD	1	Ich habe dort 2007 meinen OWD gemacht und weil mir das Tauchen so gefiel hab ich dort noch im selben Jahr den AOWD und den Deep drangehängt.	corenlp	0.896551724137931	0.8275862068965517
de	GSD	2	Ist ja wohl ein Witz.	corenlp	0.8333333333333334	0.8333333333333334
de	GSD	3	"""Bitte Termin im Internet machen."""	corenlp	0.8888888888888888	0.8888888888888888
de	GSD	4	"""Welcher Kollege hat Ihnen denn 99 gesagt?"""	corenlp	0.9	0.6
de	GSD	5	(Bei den Damen und Herren des besagten Mobilfunkanbieters bin ich im Gegensatz dazu bisher ausschließlich auf arrogante Unkenntnis gestossen).	corenlp	0.8695652173913043	0.8695652173913043
de	GSD	6	10 Euro günstiger selbst hätte kaufen können.	corenlp	0.875	0.75
de	GSD	7	Aber mal abwarten, was sich in näherer Zukunft abspielt....	corenlp	0.9090909090909091	0.8181818181818182
de	GSD	8	Aber über die Freundlichkeit, Zuverlässlichkeit und Komptenz des gesamten Team kann man nur eines Sagen -- PEFERKTION	corenlp	0.8888888888888888	0.7222222222222222
de	GSD	9	Absolut empfehlenswert ist auch der Service.	corenlp	1.0	1.0
de	GSD	10	Alle am Wort Gottes interessierte Personen sind herzlich eingelanden, Gottesdienst mit Liedern, Gebeten und Predigten mit den Mitgliedern zu feiern.	corenlp	0.7916666666666666	0.75
de	GSD	11	Alles in Allem ein super Erlebnis.	corenlp	0.8571428571428571	0.7142857142857143
de	GSD	12	"Als ich mit meiner Frau und meiner Tante im Oktober 2007 in Norden nach einer Gaststätte suchten, in der man das originelle Gericht ""Labskaus"" essen könnte, verlief unsere Suche zunächst erfolglos."	corenlp	0.8378378378378378	0.8108108108108109
de	GSD	13	Als wir dann Schritt für Schritt durch den Versicherungsbogen gingen, wurden die Hälfte der von mir gemachten Angaben nur fehlerhaft oder gar nicht übernommen.	corenlp	0.6923076923076923	0.6538461538461539
de	GSD	14	Also alles bestens, wie immer :)	corenlp	0.0	0.0
de	GSD	15	Also für eine Nacht reicht es, aber nicht noch einmal.	corenlp	0.75	0.6666666666666666
de	GSD	16	"Also wenn die Bedienung mitte 40 und blond war, war es keine Angestellte, sondern die ""Chefin"" selbst."	corenlp	0.6363636363636364	0.5909090909090909
de	GSD	17	Also wurde von der Vodafone - Seite das Update für den Schneeleoparden auf eine CD gebrannt und mir in die Hand gedrückt -- gratis.	corenlp	0.88	0.8
de	GSD	18	Am Abend war weder der Tisch noch eine sinnvolle Alternative reserviert...	corenlp	0.7692307692307693	0.5384615384615384
de	GSD	19	An den anderen Tischen sah es nicht besser aus.	corenlp	0.9	0.8
